0.28074E+01 0.18651E-02 0.00000E+01 2369695 0 0 133318 0.47481E+05 0.00000E+01 0.28074E+01 0.00000E+01 0.00000E+01 0
1 2.9521 0.11254 1.927 115.88 2.9521
2 2.7494 0.041823 1.0874 61.716 2.7494
3 2.8034 0.019251 0.69422 31.408 2.8034
4 2.7427 0.084439 1.5562 90.272 2.7427
5 2.8042 0.048956 1.248 75.056 2.8042
6 2.8222 0.020016 0.71697 31.15 2.8222
7 2.7841 0.1168 2.1206 166.44 2.7841
8 2.7971 0.042943 1.0975 54.982 2.7971
9 2.7931 0.018165 0.65748 28.096 2.7931
10 2.7323 0.11963 2.2131 161.01 2.7323
11 2.7565 0.040792 1.0579 55.397 2.7565
12 2.7857 0.017994 0.65301 29.69 2.7857
13 2.7981 0.10822 1.955 159.71 2.7981
14 2.8138 0.043835 1.1136 68.624 2.8138
15 2.8287 0.019095 0.68241 31.452 2.8287
16 2.9777 0.12933 2.1954 158.28 2.9777
17 2.7714 0.038019 0.98066 58.236 2.7714
18 2.7969 0.018908 0.68343 30.155 2.7969
19 2.8009 0.094123 1.6986 98.251 2.8009
20 2.7419 0.043497 1.134 69.66 2.7419
21 2.7905 0.019007 0.68859 31.527 2.7905
22 2.6945 0.10187 1.911 146.64 2.6945
23 2.7667 0.040044 1.0346 59.938 2.7667
24 2.8279 0.020205 0.72231 31.019 2.8279
25 2.7686 0.11103 2.027 172.21 2.7686
26 2.7396 0.039031 1.0184 66.652 2.7396
27 2.8227 0.019685 0.705 30.257 2.8227
28 2.9513 0.12589 2.1561 172.95 2.9513
29 2.7671 0.040094 1.0358 57.765 2.7671
30 2.8277 0.019883 0.71085 30.63 2.8277
31 2.6175 0.072893 1.4076 88.05 2.6175
32 2.7848 0.044214 1.135 65.217 2.7848
33 2.8483 0.021236 0.75374 31.507 2.8483
34 2.7796 0.095868 1.7434 113.11 2.7796
35 2.7008 0.038895 1.0295 68.867 2.7008
36 2.8197 0.020308 0.72807 32.149 2.8197
37 2.7755 0.10629 1.9357 124.54 2.7755
38 2.7554 0.042368 1.0992 60.351 2.7554
39 2.8056 0.019202 0.69192 29.612 2.8056
40 2.8637 0.1189 2.0987 161.98 2.8637
41 2.7848 0.042561 1.0925 63.844 2.7848
42 2.8486 0.020064 0.71205 29.308 2.8486
43 2.8493 0.097137 1.7232 93.484 2.8493
44 2.8399 0.047714 1.201 69.561 2.8399
45 2.8204 0.020262 0.72624 30.638 2.8204
46 2.8047 0.092021 1.6584 124.41 2.8047
47 2.8221 0.048708 1.2338 68.21 2.8221
